1570502829406,2686.415771484375,1589
1570502829406,2559.54296875,1636
1570502829406,2747.23095703125,1644
1570502829406,2677.74658203125,1714
1570502829406,2602.81103515625,1576
1570502829406,2813.632568359375,1612
1570502829406,2956.79345703125,1628
1570502829406,2710.21826171875,1615
1570502829406,2688.98876953125,1563
1570502829406,2504.905029296875,1613
1570502829406,2774.642822265625,1798
1570502829406,2787.654541015625,1639
1570502829406,2625.47412109375,1656
1570502829406,2455.95263671875,2017
1570502829406,2836.266845703125,1988
1570502829406,2660.589111328125,1643
